reserva_id,solicitud_id,solicitante_id,docente_id,materia_id,periodo_lectivo_id,laboratorio_id,piso_id,responsable_id,fecha_reserva,hora_inicio,hora_fin,reserva_estado,solicitud_estado,codigo_reserva
7425f225-c12e-4e8d-b827-4b865917f6b6,4d973c87-ce75-469d-9caa-b5b5875faea9,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-03,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261103-37D8F1F6
98aa05a4-cdce-4edf-b0ef-9035196ec2aa,ed9fcda1-2a7d-4684-b663-a1e4e38584f8,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-04,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261104-15E06CC7
9cc3822d-ef8a-4459-88c4-ee26eb4817f3,1e4c2207-dce3-4a61-a793-202ded56f9bb,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-05,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261105-4664BB3E
b62ebf54-baf4-4ab3-94d6-16ee2d5bfec1,0f757041-96cc-458a-a42c-a730d6a9dbdb,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-06,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261106-193710C7
a0b6397d-f29c-47f6-ad78-2b4dde9422f1,7e198b26-3017-41bd-8031-4fbb113102e6,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-09,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261109-CC4B4AAB
6abd5176-d497-41bb-a4ae-6f22fb749824,05759328-e6c8-4f6b-a746-4ea531367752,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-10,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261110-C77BFB9C
d8fba007-349d-4ae8-8f67-2c27b1aabdb2,09da8511-b280-4102-a4de-75f4e1adbe59,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-11,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261111-DE9C26AD
79844f8c-f427-4ea3-a31b-092f416e5841,58e3bda9-d3a4-4b53-8155-6ad90a31f89c,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-12,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261112-942857B5
0bd17758-605f-407b-984f-d817b4f109c8,8993468f-6f83-471f-8a48-026514a3e00f,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-13,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261113-40C35243
bd172640-86e4-4902-9496-175035844628,f1e0f34c-bbc7-4b30-9975-4b665f40b524,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-16,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261116-FC57200F
39572992-f44c-4612-bb03-d7146dfc427b,6faba34b-0dd4-45e1-bc6a-cf7e3eec3013,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-17,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261117-FCD90A60
b85e21ed-fb15-4dfb-9b6d-1de5ba8452d8,a6adb397-e7bc-48a6-ba70-d2bc3aa27588,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-18,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261118-1FA872A4
176d3baa-5acd-46e2-b79b-8e4839cf6f95,29418ec8-50ef-4850-be16-743f14e13659,20000000-0000-0000-0000-000000000001,30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-00000000000a,3f000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000006,20000000-0000-0000-0000-000000000002,2026-11-19,08:00:00,09:00:00,PROGRAMADA,APROBADA,RES-20261119-161950E9
